date-time,atmospheric pressure (mBar),rainfall (mm),wind speed (m/s),wind direction (degrees),surface temperature (C),relative humidity (%),solar flux (Kw/m2),battery (V)
02/10/2015 01:23,1028,0,0,0,10.45,80,0,13.76
02/10/2015 01:24,1028,0,0,0,10.43,80.1,0,13.76
02/10/2015 01:25,1028,0,0,0,10.37,80.3,0,13.76
02/10/2015 01:26,1028,0,0,0,10.36,80.4,0,13.76
02/10/2015 01:27,1028,0,0,0,10.3,80.5,0,13.76
02/10/2015 01:28,1028,0,0,0,10.28,80.9,0,13.76
02/10/2015 01:29,1028,0,0,0,10.28,80.9,0,13.76
02/10/2015 01:30,1028,0,0,0,10.23,81.1,0,13.76
02/10/2015 01:31,1028,0,0,0,10.21,81.2,0,13.76
02/10/2015 01:32,1028,0,0,0,10.17,81.4,0,13.76
02/10/2015 01:33,1028,0,0,0,10.19,81.4,0,13.76
02/10/2015 01:34,1028,0,0,0,10.17,81.5,0,13.76
02/10/2015 01:35,1028,0,0,0,10.14,81.5,0,13.76
02/10/2015 01:36,1028,0,0,0,10.11,81.5,0,13.76
02/10/2015 01:37,1028,0,0,0,10.11,81.7,0,13.76
02/10/2015 01:38,1028,0,0,0,10.13,81.7,0,13.76
02/10/2015 01:39,1028,0,0,0,10.08,81.6,0,13.76
02/10/2015 01:40,1028,0,0,0,10.08,81.9,0,13.76
02/10/2015 01:41,1028,0,0,0,10.08,81.7,0,13.76
02/10/2015 01:42,1028,0,0,0,10.08,81.7,0,13.76
02/10/2015 01:43,1028,0,0,0,10.08,81.7,0,13.76
02/10/2015 01:44,1028,0,0,0,10.06,81.7,0,13.76
02/10/2015 01:45,1028,0,0,0,10.02,81.7,0,13.76
02/10/2015 01:46,1028,0,0,0,10.02,81.8,0,13.76
02/10/2015 01:47,1028,0,0,0,10.03,81.7,0,13.76
02/10/2015 01:48,1028,0,0,0,10.05,81.6,0,13.76
02/10/2015 01:49,1028,0,0,0,10.02,81.5,0,13.77
02/10/2015 01:50,1028,0,0,0,10.04,81.3,0,13.77
02/10/2015 01:51,1028,0,0,0,10.08,81.1,0,13.76
02/10/2015 01:52,1028,0,0,0,10.08,80.9,0,13.77
02/10/2015 01:53,1028,0,0,0,10.08,80.7,0,13.77
02/10/2015 01:54,1028,0,0,0,10.07,80.4,0,13.77
02/10/2015 01:55,1028,0,0,0,10.05,80.2,0,13.77
02/10/2015 01:56,1028,0,0,0,10.04,79.8,0,13.77
02/10/2015 01:57,1028,0,0,0,10.01,79.5,0,13.77
